"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.76316","4.39554","4.71468","4.73949","4.92427","","4.4089","4.68076","","4.79918","4.91559","5.92467","6.71249","6.03687","","","","",
"Andorra","AND","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.71328","","","","","1.69684","","1.53254","1.60025","2.19399","2.07405","2.93457","3.16387","3.0658","3.15889","","2.46258","","",
"Afghanistan","AFG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","1.16036","1.11718","1.42788","","1.30332","","","","1.73981","1.84093","1.90917","1.72998","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.51116","4.08791","3.12561","4.57747","4.6191","",
"Angola","AGO","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","4.622","6.0545","6.1175","","","","","","","","","","","2.59149","","2.60753","","","","","2.7762","2.85969","","","","3.47644","","","","","",
"Albania","ALB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.26519","3.76471","3.27428","3.47532","3.30127","3.36038","3.23823","3.31589","3.04681","3.11557","3.10656","3.15439","3.10882","3.26868","","","","","","3.50083","","",
"Arab World","ARB","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.10944","","","","","","","","","","","","","","","","","","",
"Argentina","ARG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","1.45809","","1.9362","1.78052","1.92352","1.8436","1.16564","1.71984","1.93555","2.40028","2.60715","","1.59787","1.6175","2.56972","1.36186","1.26155","1.2823","","1.04612","1.06738","","","","","","3.73198","","4.03987","4.52168","4.58031","4.83374","4.01734","3.53505","3.15654","3.47405","3.65499","3.89635","4.33782","4.89","4.60637","4.98632","5.09905","5.3441","","",
"Armenia","ARM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.84843","","","2.23519","2.77273","2.46944","2.13504","2.14504","2.48673","2.71203","2.71577","3.01894","3.17273","3.84079","3.249","3.14385","3.27524","2.82555","2.39756","",
"American Samoa","ASM","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.23707","","","3.44539","","","","","","","2.55447","","","","","","",
"Australia","AUS","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","6.0136","5.90194","5.65847","","5.48238","5.3744","","5.40571","5.28119","5.07005","4.91693","4.74656","4.67311","4.7922","4.68764","5.50915","5.24659","5.11983","5.22949","","","","4.89425","","","","","4.91079","4.74288","4.65902","4.63339","5.0942","5.57355","5.10608","4.90641","","","",
"Austria","AUT","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","4.15718","4.2927","4.4609","4.52637","4.66719","5.14034","5.25031","4.96597","5.17225","5.05033","5.02107","5.38077","5.37594","5.31659","5.30726","5.31","5.51324","5.38909","5.20327","5.03029","4.96923","5.11554","5.30977","5.26468","","5.44146","5.27168","","6.1199","6.12533","5.59957","5.58635","5.53269","5.38187","5.32094","5.27148","5.25293","5.17663","5.29698","5.7674","5.7332","5.61861","5.45065","","","",
"Azerbaijan","AZE","Government expenditure on education as % of GDP (%)","SE.XPD.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.05797","","","3.33737","3.51252","","3.38","4.21217","3.85399","3.50342","3.15449","3.28615","3.44766","2.97462","2.55551","2.54928","2.44093","3.22431","2.78062","2.43564","2.0963","2.46218","","",
