,CountryCode,CountryName,education,cashSD,health,taxRevenue
0,ABW,Aruba,6.71249,,,
1,AND,Andorra,3.0658,,7.99926652,
2,AFG,Afghanistan,4.51116,1.49556676873,9.19772273,9.1236511209
3,AGO,Angola,3.47644,0.850442440511,3.39114609,19.3335955129
4,ALB,Albania,,,5.33503501,
5,ARB,Arab World,,,4.16209592285,
6,ARE,United Arab Emirates,,,3.92945183,
7,ARG,Argentina,4.60637,,6.55015616,
8,ARM,Armenia,3.249,-4.96766177398,4.56226302,17.070051399
9,ASM,American Samoa,,,,
10,ATG,Antigua and Barbuda,,-1.38292944509,5.6285144,18.8032741768
11,AUS,Australia,5.57355,-4.03116293452,9.01527191,20.6016053399
12,AUT,Austria,5.7332,-3.3671296807,11.16524816,25.0425028214
13,AZE,Azerbaijan,2.78062,15.4463675968,5.3336001,12.1577769928
14,BDI,Burundi,6.79287,,8.82066864,
15,BEL,Belgium,6.39667,-2.9805998888,10.16564067,23.5497574644
16,BEN,Benin,5.34238,1.94308772655,4.94824039,15.5335924714
17,BFA,Burkina Faso,3.93896,-4.54394098711,7.17005016,12.7204266275
18,BGD,Bangladesh,,-0.813674182833,3.06355993,7.83468474947
19,BGR,Bulgaria,4.01754,-3.3159972739,7.24456053,18.2976901083
20,BHR,Bahrain,,-4.77948819789,3.63764959,1.17622843573
21,BHS,"Bahamas, The",,,7.43658423,
22,BIH,Bosnia and Herzegovina,,-1.98959375218,9.57831611,19.7000140636
23,BLR,Belarus,5.41013,-1.50065169921,5.55420409,16.9158136016
24,BLZ,Belize,6.621,-1.22123224853,5.84584806,23.5966520829
25,BMU,Bermuda,2.64421,,,
26,BOL,Bolivia,7.60011,,5.44301385,
27,BRA,Brazil,5.64737,-1.61896381198,8.26736921,14.1947059722
28,BRB,Barbados,5.87482,-7.95974809358,6.16899137,25.1826735238
29,BRN,Brunei Darussalam,2.04661,,2.73321659,
30,BTN,Bhutan,4.02447,,5.17176159,
31,BWA,Botswana,,-7.54224822155,5.64265217,23.6044179264
32,CAF,Central African Republic,1.20455,-9.02187578595,3.89743425,9.06192626616
33,CAN,Canada,5.37116,-2.41087543159,11.20113293,11.8114673401
34,CEB,Central Europe and the Baltics,,-5.2847150103,7.18863614553,16.062375468
35,CHE,Switzerland,4.94787,0.300174648321,11.07054472,9.63418825839
36,CHI,Channel Islands,,,,
37,CHL,Chile,4.18121,-0.424083875475,6.96860594,17.4362429678
38,CHN,China,,,4.88633979,10.2923722077
39,CIV,Cote d'Ivoire,,-0.648485162709,6.32384065,14.3255146586
40,CMR,Cameroon,3.31319,,5.28483734,
41,COG,"Congo, Rep.",6.22079,39.9077245578,2.29284845,7.59597698705
42,COL,Colombia,4.82616,-4.68188806845,6.75752454,12.1229135599
43,COM,Comoros,,,5.82480352,
44,CPV,Cabo Verde,5.56729,,4.8314955,
45,CRI,Costa Rica,,-4.51727190441,9.65747228,13.4379488453
46,CSS,Caribbean small states,,-3.54538352986,5.78821743717,25.3096445534
47,CUB,Cuba,12.83727,,10.19428176,
48,CUW,Curacao,,,,
49,CYM,Cayman Islands,,,,
50,CYP,Cyprus,6.66191,-7.0445587092,7.2339653,24.0335436192
51,CZE,Czech Republic,4.07352,-4.54815055755,7.4318989,12.9177056852
52,DEU,Germany,4.921,-3.18415075618,11.25156004,11.1157880049
53,DJI,Djibouti,4.49022,,8.84146484,
54,DMA,Dominica,,-6.2640660165,5.71976867,24.5986496624
55,DNK,Denmark,8.61798,-2.63709039396,11.08183797,32.9607227425
56,DOM,Dominican Republic,,-2.91175900998,4.06246968,12.2342347279
57,DZA,Algeria,,0.407202933722,5.11715468,34.4027687665
