"Data Source","World Development Indicators",

"Last Updated Date","2016-04-11",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Aruba","ABW","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Andorra","AND","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.8833643391776","5.22975577450032","6.03942830571341","8.43499771421216","9.12365112089795","8.85456809670553","7.47163884629873","","","",
"Angola","AGO","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.1193468615689","39.6603953713532","31.1879879389156","21.261348483239","22.1675100428537","22.1164071343296","20.1552113168363","27.5169061496873","23.6480506894804","28.9885631226345","19.7775829401236","19.3335955128783","18.7261094946891","17.3216181017235","","","",
"Albania","ALB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4227682111308","8.55360223473576","9.47929285770968","13.7016325081105","","","","16.1608431324435","16.7908423066934","17.6453594166389","","","","","","","","","","","",
"Arab World","ARB","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.992336343973077","1.07587243823629","1.12244698477393","","","","","","","","","","","","0.323387354838659","0.364917418945327","0.373239965104577","","",
"Argentina","ARG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Armenia","ARM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.9997870190166","13.9964056466186","14.3356634088462","14.3959865593942","15.962531729107","17.3217587321083","16.5058632327843","17.0700513990102","17.2194190490991","17.4916415497296","","","",
"American Samoa","ASM","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4050778264703","15.2213849928632","16.3003156870878","16.8960165700892","17.6124160276944","16.8962194467613","18.5194387383264","19.8478207342763","19.0332484240806","17.6034934369117","18.8032741767868","18.0740686741186","18.5751923602281","","","",
"Australia","AUS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.4640308528383","22.3562319395393","20.6572295493076","19.9922068905867","20.0077146049741","","","","","22.4715151758262","23.0919532055551","24.8164765961309","23.5553262180974","24.3313510640424","24.3298996046798","24.8531064097127","24.5824203381539","24.1114402987849","24.2507056743929","22.0905098390969","20.601605339926","20.4331835479626","21.3181887077931","22.1971118806757","","",
"Austria","AUT","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.0245043268835","18.2110487337255","18.9661703780273","18.9811812875425","18.3898748247808","24.3484435403355","25.6940878913869","26.5566485164225","26.651541843899","26.3641540661552","25.9778734434754","27.7245369650145","26.7139874146414","26.4647804133373","26.0764138352072","25.3203471224866","24.8854310824909","25.2514642671315","25.9454461647518","25.0603701254656","25.0425028213592","25.2108963514533","25.715336182758","26.1895357652901","","",
"Azerbaijan","AZE","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.5607090259514","17.9540725466304","9.85031325019029","10.6938776802563","12.6792612959292","12.7335261769287","","","","","","","","","16.4211753684861","14.1067089869809","12.1577769928176","12.2247609538804","12.9558292434485","","","",
"Burundi","BDI","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.142662979358","15.1227839627811","14.9289163092236","15.6160547727238","16.6782065784591","13.4389965792474","11.4203617269545","14.3476586706647","13.5974418093983","","","","","","","","","","","","","","","","",
"Belgium","BEL","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.4878175714502","25.8317517111076","26.3491007562984","26.9565447532944","26.8055817415017","27.0859964154875","26.6590656854335","25.5508707832694","24.9457771940687","25.3788769372403","25.3617383069914","25.179053499948","24.7182435939463","25.0962523642485","23.6045539086131","23.5497574643729","23.9888052418057","24.9668704942194","25.4659421083323","","",
"Benin","BEN","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.6872212860997","14.4125499881635","14.2713489583223","14.6358973015155","13.8092833038125","14.2131239605787","15.6943945193988","16.1156678225478","14.9940988149916","15.5335924713516","14.8232711442829","14.4764548447876","15.4628865768812","","",
"Burkina Faso","BFA","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.8661582218721","11.0910163823578","12.6990096493414","11.7528151862026","12.0636541622711","12.6856953714477","11.8643271435421","12.5152504712652","12.7204266274782","13.7468348184236","15.6261028661485","16.5852882167367","","",
"Bangladesh","BGD","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.61116027143823","6.69138419067813","6.96521390375867","7.04644841818552","7.13567003946154","7.04330405780911","6.91726266856821","7.65602988282474","7.49811626276927","7.83468474946733","8.68592739166971","","","","",
"Bulgaria","BGR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.8331284450966","22.3338246131172","16.9033864541833","15.2137838742054","21.2389649923897","20.0680744809549","17.0254823146209","16.6332101801117","16.1692343423576","17.1791416546139","17.5477830119962","16.7907771603118","16.0044690416016","17.8753587134587","20.6176103921887","20.9391069402489","21.7837058943418","21.7613073255494","22.0600508643792","19.7106314560673","18.2976901083404","17.9137181158793","18.6087132453027","","","",
"Bahrain","BHR","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5.18737424547284","5.04119375468111","5.39072995969548","5.34956272694727","5.1734018738224","4.79676297157238","5.04293270465644","5.09780902702597","5.66427250440841","5.01305503165515","3.73277443448614","4.10363792390765","3.56463389484186","3.30681072610287","4.21683836344847","1.16184537753338","1.1661564552523","1.14509796242081","1.23581686284367","1.3631667858969","1.17622843572582","1.10389377202838","","","","",
"Bahamas, The","BHS","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnia and Herzegovina","BIH","Tax revenue (% of GDP)","GC.TAX.TOTL.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.8822220856446","21.6867291495962","21.3974471391285","20.3141072063129","18.9605003726806","19.7000140636424","20.3172716269484","20.5007230656858","19.7778885682037","","",
